"SNP","Query_ID","Subject_ID","Description","E_value","p_values","predictor","correlation","Database","Proximity"
"scaf1671_8070694_G","scaf1671_8070694_G::JAQPZY010001671.1:8070193-8071194","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.0005305,"Catchment Area",0.215,"Full","500bp"
"scaf1671_8070714_C","scaf1671_8070714_C::JAQPZY010001671.1:8070213-8071214","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.0005305,"Catchment Area",0.215,"Full","500bp"
"scaf1377_1110708_A","scaf1377_1110708_A::JAQPZY010001377.1:1110207-1111208","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",2.062e-05,"Wildness Index",0.27,"Full","500bp"
"scaf1293_672002_A","scaf1293_672002_A::JAQPZY010001293.1:671901-672102","gi|2129504297|ref|XM_045003589.1|","PREDICTED: Mauremys mutica cytochrome P450 7A1 (LOC123362980), transcript variant X6, mRNA","7.176e-16",0.0008763,"BIO3",0.232,"Full","100bp"
"scaf1389_703561_G","scaf1389_703561_G::JAQPZY010001389.1:703460-703661","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","3.155e-54",0.00245,"Altitude",0.433,"Full","100bp"
"scaf0809_437852_T","scaf0809_437852_T::JAQPZY010000809.1:436851-438852","gi|1820709337|ref|XR_004376704.1|","PREDICTED: Chelonoidis abingdonii uncharacterized LOC116837482 (LOC116837482), ncRNA","7.987e-50",1.641e-08,"BIO5",0.229,"Full","1000bp"
"scaf0948_472202_T","scaf0948_472202_T::JAQPZY010000948.1:471701-472702","gi|2739616589|ref|XR_010597830.1|","PREDICTED: Chrysemys picta bellii uncharacterized LOC135980903 (LOC135980903), ncRNA","7.436e-152",0.0003732,"BIO5",0.26,"Full","500bp"
"scaf1151_978085_G","scaf1151_978085_G::JAQPZY010001151.1:977084-979085","gi|2868689553|ref|XM_070348318.1|","PREDICTED: Littorina saxatilis pre-mRNA-processing-splicing factor 8 (LOC138975601), mRNA","9.893e-52",0.001928,"BIO3",0.425,"Molluscan","1000bp"
"scaf1604_1600255_A","scaf1604_1600255_A::JAQPZY010001604.1:1599754-1600755","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","3.363e-170",0.002294,"Elevation Range",0.317,"Full","500bp"
"scaf1556_3856035_A","scaf1556_3856035_A::JAQPZY010001556.1:3855534-3856535","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.002649,"BIO3",0.247,"Full","500bp"
"scaf1609_5207798_G","scaf1609_5207798_G::JAQPZY010001609.1:5207297-5208298","gi|333906199|gb|JF412718.1|","Hyriopsis cumingii selenium-dependent glutathione peroxidase (Se-GPX) gene, complete cds","1.705e-56",0.0003981,"BIO3",0.239,"Molluscan","500bp"
"scaf1699_10054571_T","scaf1699_10054571_T::JAQPZY010001699.1:10053570-10055571","gi|333906199|gb|JF412718.1|","Hyriopsis cumingii selenium-dependent glutathione peroxidase (Se-GPX) gene, complete cds","1.262e-60",3.553e-05,"BIO3",0.237,"Molluscan","1000bp"
"scaf1699_10054620_A","scaf1699_10054620_A::JAQPZY010001699.1:10053619-10055620","gi|333906199|gb|JF412718.1|","Hyriopsis cumingii selenium-dependent glutathione peroxidase (Se-GPX) gene, complete cds","1.262e-60",0.0002355,"BIO3",0.212,"Molluscan","1000bp"
"scaf1699_21205447_A","scaf1699_21205447_A::JAQPZY010001699.1:21204946-21205947","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.0008721,"Catchment Area",0.37,"Full","500bp"
"scaf1504_2299173_A","scaf1504_2299173_A::JAQPZY010001504.1:2298172-2300173","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.0007288,"Altitude",0.202,"Full","1000bp"
"scaf1504_2299177_A","scaf1504_2299177_A::JAQPZY010001504.1:2298176-2300177","gi|2739719310|ref|XM_008164907.4|","PREDICTED: Chrysemys picta bellii leucine rich repeat containing 74A (LRRC74A), mRNA","0.000e+00",0.002743,"Elevation Range",0.189,"Full","1000bp"
"scaf1669_2784911_T","scaf1669_2784911_T::JAQPZY010001669.1:2784410-2785411","gi|2990512829|ref|XM_074299964.1|","PREDICTED: Sminthopsis crassicaudata uncharacterized LOC141561024 (LOC141561024), transcript variant X1, mRNA","1.962e-08",0.001044,"Catchment Area",0.197,"Full","500bp"
